"week","item_name","week_start_date","avg_price_of_item","total_spent","effective_price_per_unit"
1,"Avocados 6 ct","2025-10-01","6.79","47.53","6.79"
1,"Baking Potatoes, 10 lbs","2025-10-01","6.09","12.18","6.09"
1,"Bananas, 3 lbs","2025-10-01","1.89","15.12","1.89"
1,"Bolthouse Farms 100% Orange Juice, 52 fl oz, 2 ct","2025-10-01","11.39","56.95","11.39"
1,"Cascade Dairy Mexican Four Cheese Blend, Shredded, 5 lbs","2025-10-01","15.39","30.78","15.39"
1,"Cheswick Mild Cheddar & Monterey Jack Cheese, Shredded, 5 lbs","2025-10-01","14.99","29.98","14.99"
1,"Chobani Blended Greek Yogurt, Vanilla, 40 oz","2025-10-01","6.69","93.66","6.69"
1,"Cholula Hot Sauce, Original, 12 fl oz, 2 ct","2025-10-01","11.39","45.56","11.39"
1,"Dial Antibacterial & Moisturizing Foaming Hand Wash + Aloe, Spring Water Scent, 7.5 fl oz, 4 ct","2025-10-01","12.39","24.78","12.39"
1,"Dixie Ultra Paper Bowl, 20 oz, 135 ct","2025-10-01","14.09","70.45","14.09"
1,"Dixie Ultra Paper Plate, 8-1/2"", 240 ct","2025-10-01","20.39","81.56","20.39"
1,"Dot’s Homestyle Pretzels, Original Seasoned Pretzel Twists, 1 oz, 36 ct","2025-10-01","17.19","17.19","17.19"
1,"Famous Amos Cookies, Chocolate Chip, 2 oz, 42 ct","2025-10-01","20.49","40.98","20.49"
1,"Frank's RedHot Cayenne Pepper Sauce, Original, 1 Gallon","2025-10-01","16.79","16.79","16.79"
1,"Hellmann's Real Mayonnaise, 1 Gallon","2025-10-01","20.99","20.99","20.99"
1,"Hidden Valley Ranch Homestyle Dressing and Topping, 40 fl oz, 2 ct","2025-10-01","13.09","26.18","13.09"
1,"Kinder's Organic Seasoning, Bourbon Steak, 12.4 oz","2025-10-01","8.99","8.99","8.99"
1,"Kinder’s Organic Seasoning, Garlic Butter, 12.2 oz","2025-10-01","8.99","8.99","8.99"
1,"Kirkland Signature 2-Ply Paper Towels, White, 160 Create-A-Size Sheets, 12 ct","2025-10-01","22.89","45.78","22.89"
1,"Kirkland Signature 2% Reduced Fat Milk, 1 Gallon","2025-10-01","3.65","29.20","3.65"
