"week","week_start_date","category","total_spent"
1,"2025-10-01","Meat & Protein","776.44"
1,"2025-10-01","Paper & Disposable Products","318.02"
1,"2025-10-01","Dairy & Refrigerated","298.71"
1,"2025-10-01","Condiments, Sauces & Seasonings","238.91"
1,"2025-10-01","Produce & Frozen Fruit","207.35"
1,"2025-10-01","Bakery & Grains","122.94"
1,"2025-10-01","Snacks & Packaged Food","97.74"
1,"2025-10-01","Cleaning & Household Supplies","65.16"
1,"2025-10-01","Beverages","56.95"
1,"2025-10-01","Other","56.52"
2,"2025-10-08","Meat & Protein","913.41"
2,"2025-10-08","Other","563.60"
2,"2025-10-08","Dairy & Refrigerated","289.53"
2,"2025-10-08","Paper & Disposable Products","282.44"
2,"2025-10-08","Produce & Frozen Fruit","206.59"
2,"2025-10-08","Condiments, Sauces & Seasonings","118.52"
2,"2025-10-08","Snacks & Packaged Food","118.23"
2,"2025-10-08","Bakery & Grains","75.90"
2,"2025-10-08","Cleaning & Household Supplies","40.38"
3,"2025-10-15","Meat & Protein","1008.36"
3,"2025-10-15","Dairy & Refrigerated","329.57"
3,"2025-10-15","Paper & Disposable Products","282.44"
3,"2025-10-15","Other","280.09"
3,"2025-10-15","Produce & Frozen Fruit","142.25"
3,"2025-10-15","Snacks & Packaged Food","118.23"
3,"2025-10-15","Condiments, Sauces & Seasonings","116.12"
3,"2025-10-15","Bakery & Grains","114.76"
3,"2025-10-15","Cleaning & Household Supplies","27.99"
4,"2025-10-22","Meat & Protein","1079.48"
4,"2025-10-22","Other","511.73"
4,"2025-10-22","Dairy & Refrigerated","315.37"
4,"2025-10-22","Paper & Disposable Products","307.83"
4,"2025-10-22","Produce & Frozen Fruit","239.04"
4,"2025-10-22","Condiments, Sauces & Seasonings","183.57"
4,"2025-10-22","Snacks & Packaged Food","142.02"
4,"2025-10-22","Bakery & Grains","129.34"
4,"2025-10-22","Cleaning & Household Supplies","27.99"
5,"2025-10-29","Meat & Protein","1116.09"
5,"2025-10-29","Other","389.80"
5,"2025-10-29","Paper & Disposable Products","307.83"
5,"2025-10-29","Dairy & Refrigerated","222.67"
5,"2025-10-29","Produce & Frozen Fruit","221.89"
5,"2025-10-29","Snacks & Packaged Food","142.02"
5,"2025-10-29","Condiments, Sauces & Seasonings","129.71"
5,"2025-10-29","Bakery & Grains","129.34"
5,"2025-10-29","Cleaning & Household Supplies","42.18"
6,"2025-11-05","Meat & Protein","1105.69"
6,"2025-11-05","Paper & Disposable Products","322.32"
6,"2025-11-05","Other","306.97"
6,"2025-11-05","Produce & Frozen Fruit","221.69"
6,"2025-11-05","Dairy & Refrigerated","221.07"
6,"2025-11-05","Snacks & Packaged Food","142.02"
6,"2025-11-05","Bakery & Grains","135.53"
6,"2025-11-05","Condiments, Sauces & Seasonings","119.51"
6,"2025-11-05","Cleaning & Household Supplies","66.96"
6,"2025-11-05","Beverages","34.17"
7,"2025-11-12","Meat & Protein","1009.33"
7,"2025-11-12","Other","970.54"
7,"2025-11-12","Paper & Disposable Products","386.08"
7,"2025-11-12","Dairy & Refrigerated","323.02"
7,"2025-11-12","Produce & Frozen Fruit","171.36"
7,"2025-11-12","Bakery & Grains","91.79"
7,"2025-11-12","Condiments, Sauces & Seasonings","78.75"
7,"2025-11-12","Snacks & Packaged Food","74.66"
7,"2025-11-12","Cleaning & Household Supplies","66.96"
7,"2025-11-12","Beverages","34.17"
8,"2025-11-19","Meat & Protein","867.98"
8,"2025-11-19","Other","522.21"
8,"2025-11-19","Paper & Disposable Products","384.58"
8,"2025-11-19","Dairy & Refrigerated","321.42"
8,"2025-11-19","Produce & Frozen Fruit","171.36"
8,"2025-11-19","Bakery & Grains","91.79"
8,"2025-11-19","Condiments, Sauces & Seasonings","78.75"
8,"2025-11-19","Snacks & Packaged Food","61.47"
8,"2025-11-19","Cleaning & Household Supplies","52.77"
8,"2025-11-19","Beverages","34.17"
9,"2025-11-26","Meat & Protein","867.98"
9,"2025-11-26","Other","649.80"
9,"2025-11-26","Paper & Disposable Products","361.59"
9,"2025-11-26","Dairy & Refrigerated","326.22"
9,"2025-11-26","Produce & Frozen Fruit","127.27"
9,"2025-11-26","Bakery & Grains","91.79"
9,"2025-11-26","Condiments, Sauces & Seasonings","78.75"
9,"2025-11-26","Snacks & Packaged Food","61.47"
9,"2025-11-26","Cleaning & Household Supplies","52.77"
9,"2025-11-26","Beverages","34.17"
